1000 2000
0 998
470 585 22
280 542 16
533 707 27
400 550 49
485 788 50
190 140 36
647 325 13
461 694 28
630 191 7
520 320 16
538 142 22
930 422 36
685 308 24
780 708 26
802 545 14
522 87 45
157 735 68
492 548 26
986 530 30
49 51 58
956 589 16
448 872 42
482 557 18
576 337 27
220 139 24
5 14 12
282 523 1
236 15 53
884 353 29
724 754 20
236 710 22
242 158 6
23 641 49
111 569 60
260 790 68
955 147 54
89 781 31
958 17 64
375 901 59
674 978 5
377 566 6
669 161 36
833 536 43
906 999 27
316 260 31
570 567 16
486 8 3
277 966 34
435 693 33
946 719 3
212 96 36
540 117 25
674 950 39
802 208 40
851 525 28
690 447 9
676 934 1
795 563 35
931 351 10
320 297 70
688 861 26
974 401 56
69 428 54
52 582 45
682 433 68
277 123 21
790 151 35
960 946 29
447 229 68
628 549 29
528 589 57
876 563 4
990 984 24
759 36 6
384 71 61
238 700 14
539 490 35
775 450 11
926 250 8
428 878 6
579 758 17
944 634 1
711 977 65
257 736 28
34 472 5
595 710 5
632 249 63
467 376 12
601 302 10
963 82 32
227 14 26
433 958 40
554 669 63
659 927 25
801 313 3
718 260 41
335 892 39
443 712 63
353 313 8
513 628 26
551 856 60
699 641 1
481 195 20
889 854 1
736 8 12
704 726 25
733 414 17
364 857 19
724 210 6
738 723 23
834 626 69
945 325 24
366 806 19
456 47 25
826 784 67
860 840 12
155 573 22
695 290 65
946 366 3
863 104 20
408 290 2
161 235 23
555 601 19
144 410 19
291 588 35
447 448 5
681 956 70
329 651 28
834 949 10
901 164 6
43 572 15
811 733 28
256 640 26
859 136 12
510 428 24
297 875 24
924 556 20
125 885 17
319 71 15
880 324 51
896 367 26
203 530 41
746 786 0
594 645 12
852 508 16
698 805 57
344 730 49
947 207 12
200 878 41
107 758 17
179 7 2
175 210 68
904 308 30
626 902 16
485 106 24
123 804 19
637 501 37
410 448 22
69 0 1
150 108 11
556 287 18
328 462 19
983 718 11
423 345 56
861 182 2
807 657 41
911 294 40
744 57 8
137 126 8
760 628 16
141 184 45
882 865 31
833 848 12
444 623 15
310 485 19
283 644 24
412 555 23
42 300 20
120 789 42
550 549 14
737 42 29
914 924 12
554 109 12
264 554 11
319 216 52
260 499 7
506 263 52
399 305 0
701 777 59
129 328 58
186 417 15
779 683 9
589 237 19
247 853 25
880 524 59
999 784 59
114 643 44
784 42 38
107 96 9
218 225 29
231 763 60
286 894 24
617 835 13
58 82 33
53 315 57
617 314 28
680 780 29
6 564 35
638 23 39
752 242 61
545 825 46
756 463 1
2 80 64
485 491 19
174 544 14
388 161 0
738 841 68
379 848 52
766 838 28
250 942 14
959 488 9
135 596 46
206 598 14
113 435 23
454 962 26
110 702 13
432 440 19
886 171 29
904 289 19
946 539 14
582 850 2
43 986 2
319 192 52
676 657 17
875 463 55
619 925 1
877 709 61
680 595 38
331 500 48
820 446 57
956 29 6
228 424 20
448 744 24
618 772 66
872 647 3
439 619 23
709 848 16
770 528 20
355 859 20
229 31 22
642 988 7
906 568 16
508 369 28
303 987 0
107 211 1
726 3 30
271 64 18
526 186 54
376 541 43
78 122 11
226 765 29
404 23 3
358 532 18
408 187 6
230 294 31
51 372 28
492 644 64
780 522 23
949 898 16
328 976 61
387 202 44
138 958 21
458 668 11
146 428 50
174 658 56
414 62 31
656 554 35
315 334 13
160 635 63
546 964 13
55 703 33
33 842 22
683 300 2
216 446 21
937 621 11
303 387 49
42 43 5
777 710 8
386 870 27
893 417 9
728 824 53
766 858 11
466 893 11
186 109 13
335 46 40
495 702 53
716 96 57
492 874 47
306 260 24
403 506 7
817 234 31
934 352 21
893 818 28
504 5 66
913 692 68
944 187 66
361 256 69
526 748 43
50 54 31
796 809 25
311 626 10
2 912 38
552 157 67
346 661 10
250 927 18
553 871 30
557 584 22
10 111 22
337 513 16
277 661 7
74 324 28
254 139 8
764 342 45
777 902 43
704 154 10
575 946 20
160 994 70
623 142 20
488 696 51
149 412 23
825 754 22
151 360 17
382 124 41
959 902 13
786 606 33
167 534 34
809 46 40
109 669 45
451 157 3
70 658 15
764 483 31
564 986 18
503 368 6
432 327 40
967 466 33
304 633 1
292 794 53
275 255 32
400 707 23
573 777 13
159 893 22
850 457 8
902 960 23
431 744 44
861 711 22
898 368 7
821 660 1
790 287 9
780 687 16
279 613 7
436 124 61
428 974 4
759 229 43
458 660 1
484 873 35
329 124 67
158 945 55
782 88 67
661 868 28
247 500 15
962 936 39
571 717 12
638 476 17
17 934 29
140 770 2
327 451 26
882 610 24
98 392 12
953 53 68
847 652 16
355 614 21
986 538 10
944 528 18
483 545 48
34 37 26
107 365 26
655 247 64
149 697 20
83 2 67
238 850 15
892 205 49
835 191 59
495 488 31
983 323 34
757 358 44
302 465 21
650 120 20
608 622 18
958 57 20
361 295 30
768 540 27
141 375 29
53 223 41
844 558 18
533 316 60
259 970 43
350 972 70
40 580 4
780 538 39
171 899 9
763 19 51
561 512 24
254 917 1
83 762 42
587 295 26
450 554 4
129 256 32
929 296 52
55 429 62
887 600 63
718 715 8
737 628 20
835 882 62
805 317 48
685 257 1
881 707 47
399 836 9
889 118 43
607 173 14
215 412 62
74 130 6
304 219 14
46 55 31
706 212 62
128 897 5
197 130 2
172 529 9
403 418 39
283 377 14
591 944 1
852 370 19
828 26 47
784 72 40
975 779 24
484 259 21
249 809 3
74 981 68
735 737 2
866 20 69
874 611 25
943 815 3
847 643 23
322 780 53
204 107 26
298 591 62
289 193 53
762 267 20
116 354 17
240 572 11
741 446 47
538 742 32
705 589 12
250 263 56
867 467 49
616 765 5
624 406 12
441 520 45
591 988 9
831 228 19
90 969 27
313 859 21
352 916 38
386 166 25
200 385 56
473 1 9
338 977 33
396 418 13
73 362 25
104 193 45
707 635 24
405 949 65
548 653 3
281 39 31
276 591 7
91 64 40
22 755 62
360 151 44
569 577 30
415 681 37
192 389 1
939 146 0
896 694 47
770 975 56
161 604 65
938 695 49
176 177 41
680 55 29
257 296 4
938 81 12
679 502 21
825 224 24
872 247 54
847 661 7
451 18 54
498 440 33
568 616 4
349 296 49
348 905 1
466 196 19
777 875 65
26 53 40
172 925 41
88 772 27
518 576 9
886 426 69
323 994 0
289 696 52
662 396 46
332 863 50
435 640 23
392 18 70
222 543 45
4 983 20
447 501 8
908 387 66
162 62 19
32 351 23
902 366 27
326 50 12
298 837 20
498 229 1
398 804 58
576 808 23
878 255 21
108 163 34
764 677 19
415 709 16
114 612 50
210 290 0
168 941 63
471 439 19
440 189 23
304 117 17
151 347 62
852 455 47
941 572 69
92 339 8
946 454 44
519 16 1
789 184 60
249 655 69
290 447 28
783 103 58
788 607 59
696 811 51
471 752 21
924 196 40
87 143 34
565 662 18
334 803 19
396 404 26
897 694 26
292 829 29
156 617 12
367 665 48
386 137 4
977 61 1
908 500 4
996 66 10
749 400 35
38 797 30
334 46 16
430 690 54
982 846 15
492 214 19
814 952 30
241 930 17
864 190 16
630 186 2
762 287 2
697 325 49
389 660 50
776 442 60
992 424 61
529 269 5
380 83 43
720 324 61
474 188 29
80 170 32
752 932 45
176 982 19
398 371 7
370 147 13
32 491 36
541 21 67
616 753 32
996 826 7
305 652 67
157 732 44
195 836 12
520 12 22
523 762 6
538 132 7
348 165 63
582 58 42
437 27 37
375 23 11
990 328 59
146 485 25
472 32 39
82 905 26
675 428 12
639 319 27
454 667 10
761 601 0
441 38 27
875 413 50
486 756 69
398 902 32
745 374 47
929 456 42
125 131 62
435 122 9
230 577 24
190 690 23
913 132 33
310 7 19
83 493 63
536 243 61
826 989 35
149 918 21
377 395 47
738 830 27
417 413 4
116 955 5
415 868 21
753 179 14
856 614 69
715 150 27
476 976 32
611 126 62
202 855 67
277 593 15
475 11 28
601 127 64
418 542 4
367 647 17
323 503 3
477 218 1
226 694 24
964 305 46
972 860 9
727 137 45
664 964 34
15 566 55
321 984 61
495 352 13
201 27 10
520 856 39
990 82 45
788 46 13
712 370 27
491 449 38
216 466 27
304 481 7
871 154 29
981 1 19
90 202 39
702 75 17
533 65 0
411 205 2
946 917 21
989 760 22
873 329 12
370 633 21
785 857 27
537 190 29
288 280 17
771 334 42
759 220 25
181 983 20
1 929 51
192 270 10
537 143 61
347 866 24
639 3 67
788 540 23
587 181 45
941 952 58
721 63 38
567 244 55
969 246 26
289 790 56
721 327 61
130 675 5
876 666 39
480 454 1
625 42 66
403 335 13
515 56 2
847 975 53
514 945 7
758 586 17
624 307 11
633 789 62
861 17 4
92 849 42
215 475 48
872 230 13
481 745 4
153 592 29
70 458 32
585 216 46
539 192 13
172 177 2
832 38 28
806 482 21
586 50 52
409 922 22
918 755 25
484 908 19
378 979 23
216 564 55
993 455 63
76 979 15
301 811 5
895 969 60
986 556 58
257 317 16
757 235 29
3 72 21
192 450 10
840 18 27
55 11 66
815 440 14
400 93 23
727 988 53
537 974 3
101 583 20
587 341 7
828 696 69
330 888 67
810 80 48
559 136 15
764 303 7
300 55 0
647 782 12
964 672 15
837 773 2
379 361 9
509 189 13
710 519 24
66 682 8
88 241 4
825 357 1
3 657 46
625 305 63
884 269 39
469 459 66
989 190 5
851 51 63
408 762 8
206 828 10
85 268 16
451 445 59
121 800 1
845 426 44
704 662 25
235 131 64
540 120 21
557 323 70
116 732 56
195 290 28
307 375 8
13 179 10
77 300 10
446 497 32
824 554 70
471 789 39
578 681 66
579 591 43
279 707 59
94 254 68
88 914 41
703 279 62
763 356 10
975 154 60
614 978 6
914 450 17
698 380 17
954 959 8
533 238 33
845 684 26
799 773 12
128 828 33
989 591 24
700 159 38
679 723 29
129 429 27
509 816 67
820 146 34
58 183 37
95 827 38
220 737 57
48 927 68
991 473 67
909 525 7
442 204 32
593 685 51
442 546 17
245 366 37
581 777 1
115 872 22
799 92 32
612 140 5
414 131 20
70 392 55
533 186 2
423 779 13
95 221 66
582 818 48
568 752 29
89 219 1
789 18 55
227 983 15
944 749 32
134 819 13
202 704 1
474 128 21
783 223 48
639 157 23
862 725 25
213 166 6
437 956 36
752 183 53
560 480 3
850 966 16
533 168 21
403 994 1
404 778 24
978 417 15
371 279 37
868 493 29
584 282 15
319 34 21
388 594 1
207 797 19
494 330 12
837 85 66
660 489 12
58 820 70
613 191 39
246 412 6
46 996 12
153 667 25
444 56 21
567 263 18
9 109 51
619 298 14
223 958 28
606 16 52
758 982 9
541 228 3
818 626 0
728 780 33
673 576 25
565 496 61
253 505 0
624 124 1
433 347 43
731 305 26
849 63 8
510 957 12
936 775 15
358 503 5
447 529 29
593 94 33
354 699 24
224 676 52
745 109 52
225 192 47
721 41 31
551 903 26
609 191 47
294 549 8
111 997 11
153 590 17
42 296 65
789 872 37
307 618 24
877 843 16
753 916 9
692 467 12
940 428 4
315 723 5
545 834 2
305 339 56
510 734 60
415 523 35
700 182 17
94 60 26
32 813 58
11 857 39
894 149 11
320 816 36
295 361 49
620 666 58
886 177 24
449 944 49
884 645 14
937 91 54
185 124 11
349 487 20
980 381 21
391 53 63
526 701 2
847 673 17
211 559 6
310 8 10
931 244 13
87 533 21
655 718 45
388 67 58
978 399 24
69 791 19
328 669 66
597 868 7
884 79 19
700 389 21
460 673 24
218 112 43
419 120 24
96 508 5
260 839 53
806 260 62
110 589 41
114 538 27
792 774 42
381 474 52
330 286 27
876 856 15
604 627 43
402 75 34
619 336 43
236 494 17
644 604 6
73 719 4
722 863 30
451 596 4
921 278 65
64 155 9
671 111 29
399 513 54
987 132 66
414 721 29
101 365 15
730 791 44
896 865 19
837 316 33
603 589 54
8 5 47
622 677 16
215 428 19
883 415 13
888 829 14
739 282 48
194 12 5
721 909 12
462 746 19
800 701 30
768 62 24
243 36 5
829 603 67
280 486 52
215 726 29
872 465 11
246 660 24
763 381 15
145 843 17
196 995 16
189 763 2
835 358 14
510 187 11
965 467 24
483 683 2
534 907 32
515 153 20
509 916 13
764 61 8
469 610 4
524 799 19
344 634 22
201 496 35
660 461 15
958 296 20
631 830 27
121 697 20
623 559 52
506 675 39
584 145 29
10 669 30
200 365 44
100 566 4
835 227 17
742 537 13
332 168 5
829 641 7
831 264 48
749 770 21
81 707 24
22 717 55
115 917 11
193 17 23
768 205 44
155 947 6
191 632 14
56 461 8
971 645 28
445 394 5
595 827 2
889 202 19
205 317 11
886 510 42
485 630 15
664 786 15
380 977 53
264 385 40
142 709 5
637 154 48
902 101 21
226 991 19
267 548 50
226 786 13
907 271 57
792 287 19
329 667 10
146 932 4
777 426 43
404 63 11
426 317 35
628 543 8
31 811 44
104 389 58
687 296 35
252 441 5
604 770 28
284 917 4
702 46 17
829 450 54
463 229 16
198 857 41
276 888 30
254 992 40
18 31 8
405 284 51
80 240 28
423 876 11
49 931 13
102 760 11
571 575 18
357 773 25
38 401 16
531 655 40
413 673 8
591 79 28
563 159 20
305 582 4
316 984 27
373 86 60
584 9 15
673 718 59
970 757 58
508 288 2
39 701 23
953 644 46
151 559 14
293 864 52
959 532 68
909 257 29
619 842 68
256 515 49
667 837 40
832 346 52
652 385 1
145 690 3
70 841 43
506 486 27
876 445 6
879 706 15
672 677 43
474 286 24
347 953 38
977 137 40
247 789 55
570 287 65
538 709 28
417 215 14
512 91 11
140 322 30
26 346 53
105 821 15
700 168 61
484 498 28
614 745 18
481 316 43
38 206 34
788 975 67
24 487 24
57 628 1
797 654 3
567 111 18
622 811 61
983 647 63
482 613 66
122 94 50
401 484 8
37 272 17
592 296 29
238 354 49
559 151 43
227 70 32
67 693 68
428 28 21
935 510 55
892 984 61
164 385 24
643 774 52
448 366 55
741 957 49
662 868 46
941 95 25
980 515 30
182 943 2
383 231 39
198 123 3
460 639 17
206 282 43
224 731 24
891 824 67
264 487 47
789 428 1
736 760 16
376 942 11
396 678 6
279 876 31
147 336 9
752 894 9
131 119 26
877 362 1
932 627 62
856 768 18
227 504 21
465 232 27
646 980 3
411 260 20
650 759 32
529 511 37
43 994 66
639 224 52
60 156 27
968 364 5
9 943 1
458 760 69
553 759 36
327 522 24
329 524 65
19 54 2
604 449 8
660 440 16
79 501 25
476 469 59
642 830 63
663 640 3
917 194 8
151 873 70
997 202 45
602 573 39
422 178 10
236 838 50
923 917 49
470 746 27
733 740 45
940 403 4
260 320 58
338 823 15
939 820 31
416 774 58
947 196 20
927 785 11
699 60 20
973 530 26
68 615 34
993 556 22
911 168 6
23 858 18
8 149 62
899 565 35
364 512 13
654 791 2
487 843 42
238 816 60
734 236 44
323 581 36
315 493 68
979 516 10
467 877 8
128 776 43
563 140 30
898 147 39
667 634 4
495 224 28
558 959 40
884 634 58
118 949 13
872 280 3
484 100 68
246 580 39
574 495 47
766 393 48
397 60 13
224 908 11
218 466 22
449 702 44
613 172 43
270 44 10
795 528 10
550 127 30
81 53 17
104 819 10
627 568 23
136 144 17
869 363 1
914 164 3
592 129 25
220 751 29
480 898 49
192 448 22
484 529 69
271 986 2
803 965 29
396 453 15
249 674 70
272 588 6
645 181 23
542 753 26
483 585 25
657 777 27
605 261 45
959 884 7
131 687 42
224 436 37
110 37 63
710 310 26
827 307 41
72 202 36
69 37 51
964 694 22
307 652 9
532 611 25
95 94 14
975 319 50
308 429 12
668 491 50
264 318 43
745 391 41
979 812 3
150 776 9
98 83 5
659 968 6
104 415 47
940 743 28
861 403 47
819 71 4
439 687 15
718 432 42
848 763 30
367 913 2
580 363 67
446 22 1
274 478 31
197 419 12
439 632 33
814 451 61
681 242 26
218 312 11
498 512 26
590 879 60
458 812 45
113 610 22
385 884 8
776 82 21
910 873 11
447 40 14
56 73 8
353 291 21
786 141 67
982 731 35
444 541 23
270 654 13
470 391 23
148 519 5
598 429 69
679 877 23
916 285 4
394 990 13
185 776 20
489 759 37
376 203 44
723 473 38
32 943 46
225 444 27
853 394 45
706 425 16
599 341 31
565 736 40
174 921 12
924 762 1
109 138 3
835 213 28
567 245 24
43 823 20
687 28 14
464 734 61
118 685 19
57 602 17
339 776 10
398 52 47
919 161 9
292 348 5
843 915 2
689 959 23
979 998 5
15 462 9
124 932 24
927 989 22
466 681 6
927 431 10
150 350 23
863 995 29
790 190 61
315 879 2
662 210 52
390 225 10
851 701 58
998 981 17
98 447 16
327 374 53
607 876 50
401 92 55
894 882 65
303 549 34
23 212 28
741 602 5
273 805 42
737 803 61
191 254 13
677 581 13
947 540 10
567 293 18
534 540 16
691 843 34
727 867 70
325 960 16
852 234 11
80 971 55
290 514 49
299 544 16
682 491 24
942 410 30
646 944 10
585 635 5
73 714 28
773 391 15
427 243 19
238 323 10
853 965 43
426 264 1
